date,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_target,away_shots_target
2021-03-06,2021,Ein Frankfurt,Stuttgart,1,1,D,19.0,8.0,8.0,1.0
2021-03-06,2021,Freiburg,RB Leipzig,0,3,A,5.0,13.0,1.0,8.0
2021-03-06,2021,Hertha,Augsburg,2,1,H,17.0,7.0,7.0,4.0
2021-03-06,2021,Hoffenheim,Wolfsburg,2,1,H,9.0,17.0,4.0,5.0
2021-03-06,2021,M'gladbach,Leverkusen,0,1,A,7.0,13.0,3.0,5.0
2021-03-06,2021,Bayern Munich,Dortmund,4,2,H,25.0,4.0,9.0,3.0
2021-03-07,2021,FC Koln,Werder Bremen,1,1,D,16.0,11.0,4.0,5.0
2021-03-07,2021,Bielefeld,Union Berlin,0,0,D,5.0,7.0,3.0,3.0
2021-03-10,2021,Bielefeld,Werder Bremen,0,2,A,22.0,5.0,7.0,2.0
2021-03-12,2021,Augsburg,M'gladbach,3,1,H,10.0,28.0,3.0,7.0
2021-03-13,2021,Dortmund,Hertha,2,0,H,14.0,4.0,4.0,0.0
2021-03-13,2021,Wolfsburg,Schalke 04,5,0,H,16.0,7.0,7.0,2.0
2021-03-13,2021,Mainz,Freiburg,1,0,H,10.0,13.0,7.0,3.0
2021-03-13,2021,Union Berlin,FC Koln,2,1,H,13.0,9.0,8.0,5.0
2021-03-13,2021,Werder Bremen,Bayern Munich,1,3,A,9.0,22.0,4.0,6.0
2021-03-14,2021,Leverkusen,Bielefeld,1,2,A,20.0,10.0,8.0,5.0
2021-03-14,2021,RB Leipzig,Ein Frankfurt,1,1,D,14.0,5.0,8.0,2.0
2021-03-14,2021,Stuttgart,Hoffenheim,2,0,H,7.0,16.0,4.0,5.0
2021-03-19,2021,Bielefeld,RB Leipzig,0,1,A,5.0,20.0,0.0,8.0
2021-03-20,2021,Bayern Munich,Stuttgart,4,0,H,15.0,12.0,7.0,4.0
2021-03-20,2021,Ein Frankfurt,Union Berlin,5,2,H,9.0,24.0,5.0,8.0
2021-03-20,2021,FC Koln,Dortmund,2,2,D,10.0,13.0,2.0,4.0
2021-03-20,2021,Werder Bremen,Wolfsburg,1,2,A,11.0,16.0,4.0,5.0
2021-03-20,2021,Schalke 04,M'gladbach,0,3,A,4.0,21.0,1.0,7.0
2021-03-21,2021,Hertha,Leverkusen,3,0,H,13.0,9.0,10.0,1.0
2021-03-21,2021,Freiburg,Augsburg,2,0,H,10.0,19.0,3.0,8.0
2021-03-21,2021,Hoffenheim,Mainz,1,2,A,8.0,16.0,2.0,7.0
2021-04-03,2021,Augsburg,Hoffenheim,2,1,H,7.0,16.0,2.0,6.0
2021-04-03,2021,Dortmund,Ein Frankfurt,1,2,A,20.0,15.0,7.0,3.0
2021-04-03,2021,Leverkusen,Schalke 04,2,1,H,6.0,4.0,2.0,2.0
2021-04-03,2021,Mainz,Bielefeld,1,1,D,12.0,9.0,5.0,2.0
2021-04-03,2021,Wolfsburg,FC Koln,1,0,H,13.0,10.0,6.0,1.0
2021-04-03,2021,RB Leipzig,Bayern Munich,0,1,A,13.0,9.0,3.0,5.0
2021-04-03,2021,M'gladbach,Freiburg,2,1,H,19.0,7.0,5.0,4.0
2021-04-04,2021,Stuttgart,Werder Bremen,1,0,H,14.0,9.0,3.0,2.0
2021-04-04,2021,Union Berlin,Hertha,1,1,D,11.0,4.0,3.0,1.0
2021-04-09,2021,Bielefeld,Freiburg,1,0,H,14.0,10.0,4.0,2.0
2021-04-10,2021,Stuttgart,Dortmund,2,3,A,13.0,18.0,3.0,7.0
