date,season,match_id,home_team,away_team,home_goals,away_goals,result,home_atk_pre,home_def_pre,away_atk_pre,away_def_pre,home_atk_post,home_def_post,away_atk_post,away_def_post,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2020-11-28,2021,78,M'gladbach,Schalke 04,4,1,H,0.008,0.0067,-0.1388,0.184,0.0434,0.0024,-0.1431,0.2195,1516.73,1379.24,1533.64,1362.33
2020-11-29,2021,79,Leverkusen,Hertha,0,0,D,0.0721,-0.0668,0.0437,0.0865,0.029,-0.0939,0.0165,0.0433,1597.78,1462.81,1591.28,1469.31
2020-11-29,2021,80,Mainz,Hoffenheim,1,1,D,-0.0522,0.1453,0.0234,0.041,-0.0686,0.1324,0.0105,0.0246,1395.78,1467.31,1396.61,1466.48
2020-12-04,2021,81,Hertha,Union Berlin,3,1,H,0.0165,0.0433,0.1098,-0.049,0.0409,0.0309,0.0974,-0.0246,1469.31,1565.22,1499.48,1535.05
2020-12-05,2021,82,Ein Frankfurt,Dortmund,1,1,D,0.0032,0.0138,0.1052,-0.0915,-0.0105,0.0025,0.0939,-0.1052,1519.51,1575.81,1519.75,1575.57
2020-12-05,2021,83,Freiburg,M'gladbach,2,2,D,-0.0782,0.0982,0.0434,0.0024,-0.0723,0.1062,0.0514,0.0083,1408.82,1533.64,1411.64,1530.82
2020-12-05,2021,84,Bielefeld,Mainz,2,1,H,-0.1399,0.0762,-0.0686,0.1324,-0.1364,0.0682,-0.0766,0.1358,1383.54,1396.61,1401.42,1378.72
2020-12-05,2021,85,Bayern Munich,RB Leipzig,3,3,D,0.2859,-0.0363,0.0421,-0.1416,0.3034,-0.0043,0.0741,-0.1241,1645.13,1594.94,1641.38,1598.68
2020-12-05,2021,86,FC Koln,Wolfsburg,2,2,D,-0.0742,-0.0078,-0.0007,-0.1017,-0.0651,0.0046,0.0117,-0.0926,1446.63,1572.64,1449.5,1569.77
2020-12-06,2021,87,Werder Bremen,Stuttgart,1,2,A,-0.0205,0.0018,0.0288,0.0139,-0.037,0.0131,0.0402,-0.0027,1493.36,1505.76,1471.2,1527.92
2020-12-06,2021,88,Schalke 04,Leverkusen,0,3,A,-0.1431,0.2195,0.029,-0.0939,-0.1722,0.2438,0.0533,-0.1229,1362.33,1591.28,1344.8,1608.82
2020-12-07,2021,89,Hoffenheim,Augsburg,3,1,H,0.0105,0.0246,-0.0772,-0.032,0.0345,0.0182,-0.0836,-0.008,1466.48,1468.99,1489.53,1445.95
2020-12-11,2021,90,Wolfsburg,Ein Frankfurt,2,1,H,0.0117,-0.0926,-0.0105,0.0025,0.0144,-0.0977,-0.0156,0.0051,1569.77,1519.75,1584.17,1505.35
2020-12-12,2021,91,Dortmund,Stuttgart,1,5,A,0.0939,-0.1052,0.0402,-0.0027,0.0736,-0.0313,0.1141,-0.023,1575.57,1527.92,1524.61,1578.87
2020-12-12,2021,92,Freiburg,Bielefeld,2,0,H,-0.0723,0.1062,-0.1364,0.0682,-0.0689,0.0792,-0.1633,0.0715,1411.64,1401.42,1433.73,1379.33
2020-12-12,2021,93,Mainz,FC Koln,0,1,A,-0.0766,0.1358,-0.0651,0.0046,-0.1108,0.126,-0.0749,-0.0296,1378.72,1449.5,1359.92,1468.31
2020-12-12,2021,94,M'gladbach,Hertha,1,1,D,0.0514,0.0083,0.0409,0.0309,0.0315,-0.0009,0.0317,0.011,1530.82,1499.48,1527.75,1502.54
2020-12-12,2021,95,RB Leipzig,Werder Bremen,2,0,H,0.0741,-0.1241,-0.037,0.0131,0.074,-0.1477,-0.0607,0.013,1598.68,1471.2,1612.8,1457.08
2020-12-12,2021,96,Union Berlin,Bayern Munich,1,1,D,0.0974,-0.0246,0.3034,-0.0043,0.077,-0.0413,0.2866,-0.0247,1535.05,1641.38,1537.2,1639.24
2020-12-13,2021,97,Augsburg,Schalke 04,2,2,D,-0.0836,-0.008,-0.1722,0.2438,-0.0868,0.0088,-0.1554,0.2406,1445.95,1344.8,1440.49,1350.26
2020-12-13,2021,98,Leverkusen,Hoffenheim,4,1,H,0.0533,-0.1229,0.0345,0.0182,0.0938,-0.1284,0.0291,0.0587,1608.82,1489.53,1627.09,1471.26
2020-12-15,2021,99,Ein Frankfurt,M'gladbach,3,3,D,-0.0156,0.0051,0.0315,-0.0009,0.0082,0.0363,0.0626,0.0229,1505.35,1527.75,1504.29,1528.81
2020-12-15,2021,100,Hertha,Mainz,0,0,D,0.0317,0.011,-0.1108,0.126,-0.0114,-0.0142,-0.136,0.0829,1502.54,1359.92,1495.83,1366.64
2020-12-15,2021,101,Stuttgart,Union Berlin,2,2,D,0.1141,-0.023,0.077,-0.0413,0.1145,-0.0123,0.0877,-0.0409,1578.87,1537.2,1575.43,1540.64
2020-12-15,2021,102,Werder Bremen,Dortmund,1,2,A,-0.0607,0.013,0.0736,-0.0313,-0.0742,0.0226,0.0832,-0.0448,1457.08,1524.61,1438.09,1543.6
2020-12-16,2021,103,Schalke 04,Freiburg,0,2,A,-0.1554,0.2406,-0.0689,0.0792,-0.1895,0.2476,-0.0619,0.0451,1350.26,1433.73,1326.15,1457.84
2020-12-16,2021,104,Bayern Munich,Wolfsburg,2,1,H,0.2866,-0.0247,0.0144,-0.0977,0.2822,-0.0322,0.0069,-0.1021,1639.24,1584.17,1653.37,1570.04
2020-12-16,2021,105,Bielefeld,Augsburg,0,1,A,-0.1633,0.0715,-0.0868,0.0088,-0.1949,0.0642,-0.0941,-0.0228,1379.33,1440.49,1359.97,1459.84
2020-12-16,2021,106,FC Koln,Leverkusen,0,4,A,-0.0749,-0.0296,0.0938,-0.1284,-0.1049,0.0208,0.1442,-0.1584,1468.31,1627.09,1440.44,1654.96
2020-12-16,2021,107,Hoffenheim,RB Leipzig,0,1,A,0.0291,0.0587,0.074,-0.1477,-0.0036,0.047,0.0623,-0.1804,1471.26,1612.8,1456.41,1627.65
2020-12-18,2021,108,Union Berlin,Dortmund,2,1,H,0.0877,-0.0409,0.0832,-0.0448,0.0893,-0.0499,0.0742,-0.0432,1540.64,1543.6,1557.94,1526.3
2020-12-19,2021,109,Mainz,Werder Bremen,0,1,A,-0.136,0.0829,-0.0742,0.0226,-0.1689,0.0749,-0.0823,-0.0102,1366.64,1438.09,1347.87,1456.86
2020-12-19,2021,110,M'gladbach,Hoffenheim,1,2,A,0.0626,0.0229,-0.0036,0.047,0.0416,0.0345,0.008,0.0259,1528.81,1456.41,1502.04,1483.18
2020-12-19,2021,111,Augsburg,Ein Frankfurt,0,2,A,-0.0941,-0.0228,0.0082,0.0363,-0.1289,-0.0102,0.0208,0.0016,1459.84,1504.29,1432.75,1531.39
2020-12-19,2021,112,Schalke 04,Bielefeld,0,1,A,-0.1895,0.2476,-0.1949,0.0642,-0.2219,0.2383,-0.2042,0.0317,1326.15,1359.97,1305.22,1380.9
2020-12-19,2021,113,Leverkusen,Bayern Munich,1,2,A,0.1442,-0.1584,0.2822,-0.0322,0.123,-0.1499,0.2907,-0.0533,1654.96,1653.37,1632.01,1676.32
2020-12-19,2021,114,RB Leipzig,FC Koln,0,0,D,0.0623,-0.1804,-0.1049,0.0208,0.0223,-0.2013,-0.1258,-0.0192,1627.65,1440.44,1619.73,1448.35
2020-12-20,2021,115,Freiburg,Hertha,4,1,H,-0.0619,0.0451,-0.0114,-0.0142,-0.016,0.0364,-0.0201,0.0317,1457.84,1495.83,1490.02,1463.64
2020-12-20,2021,116,Wolfsburg,Stuttgart,1,0,H,0.0069,-0.1021,0.1145,-0.0123,-0.0097,-0.1303,0.0864,-0.0289,1570.04,1575.43,1587.49,1557.99
2021-01-02,2021,117,Bielefeld,M'gladbach,0,1,A,-0.2042,0.0317,0.0416,0.0345,-0.2352,0.0218,0.0317,0.0035,1380.9,1502.04,1364.94,1518.0
2021-01-02,2021,118,Ein Frankfurt,Leverkusen,2,1,H,0.0208,0.0016,0.123,-0.1499,0.0285,-0.0099,0.1115,-0.1422,1531.39,1632.01,1554.28,1609.11
2021-01-02,2021,119,FC Koln,Augsburg,0,1,A,-0.1258,-0.0192,-0.1289,-0.0102,-0.1579,-0.0232,-0.1328,-0.0423,1448.35,1432.75,1424.62,1456.48
2021-01-02,2021,120,Hoffenheim,Freiburg,1,3,A,0.008,0.0259,-0.016,0.0364,-0.0104,0.0578,0.0159,0.0179,1483.18,1490.02,1453.22,1519.98
2021-01-02,2021,121,Werder Bremen,Union Berlin,0,2,A,-0.0823,-0.0102,0.0893,-0.0499,-0.1145,-0.0003,0.0992,-0.0821,1456.86,1557.94,1434.09,1580.72
2021-01-02,2021,122,Hertha,Schalke 04,3,0,H,-0.0201,0.0317,-0.2219,0.2383,-0.0059,0.0087,-0.2449,0.2525,1463.64,1305.22,1479.08,1289.79
2021-01-02,2021,123,Stuttgart,RB Leipzig,0,1,A,0.0864,-0.0289,0.0223,-0.2013,0.0536,-0.0365,0.0147,-0.2341,1557.99,1619.73,1538.66,1639.06
2021-01-03,2021,124,Dortmund,Wolfsburg,2,0,H,0.0742,-0.0432,-0.0097,-0.1303,0.0794,-0.0696,-0.0361,-0.1251,1526.3,1587.49,1553.82,1559.96
2021-01-03,2021,125,Bayern Munich,Mainz,5,2,H,0.2907,-0.0533,-0.1689,0.0749,0.3377,-0.0356,-0.1511,0.1219,1676.32,1347.87,1683.1,1341.09
2021-01-08,2021,126,M'gladbach,Bayern Munich,3,2,H,0.0317,0.0035,0.3377,-0.0356,0.055,0.0044,0.3386,-0.0123,1518.0,1683.1,1544.39,1656.71
2021-01-09,2021,127,Freiburg,FC Koln,5,0,H,0.0159,0.0179,-0.1579,-0.0232,0.0794,-0.0063,-0.1821,0.0403,1519.98,1424.62,1544.16,1400.44
2021-01-09,2021,128,Leverkusen,Werder Bremen,1,1,D,0.1115,-0.1422,-0.1145,-0.0003,0.0904,-0.1437,-0.116,-0.0214,1609.11,1434.09,1601.51,1441.69
2021-01-09,2021,129,Mainz,Ein Frankfurt,0,2,A,-0.1511,0.1219,0.0285,-0.0099,-0.1824,0.1295,0.0362,-0.0412,1341.09,1554.28,1326.1,1569.27
2021-01-09,2021,130,Schalke 04,Hoffenheim,4,0,H,-0.2449,0.2525,-0.0104,0.0578,-0.1954,0.2171,-0.0458,0.1073,1289.79,1453.22,1342.4,1400.6
2021-01-09,2021,131,Union Berlin,Wolfsburg,2,2,D,0.0992,-0.0821,-0.0361,-0.1251,0.1033,-0.0668,-0.0208,-0.1209,1580.72,1559.96,1578.04,1562.64
2021-01-09,2021,132,RB Leipzig,Dortmund,1,3,A,0.0147,-0.2341,0.0794,-0.0696,-0.0002,-0.1979,0.1156,-0.0844,1639.06,1553.82,1602.51,1590.37
2021-01-10,2021,133,Augsburg,Stuttgart,1,4,A,-0.1328,-0.0423,0.0536,-0.0365,-0.1439,0.0096,0.1055,-0.0476,1456.48,1538.66,1426.23,1568.92
2021-01-10,2021,134,Bielefeld,Hertha,1,0,H,-0.2352,0.0218,-0.0059,0.0087,-0.2446,-0.0065,-0.0341,-0.0006,1364.94,1479.08,1388.59,1455.43
2021-01-15,2021,135,Union Berlin,Leverkusen,1,0,H,0.1033,-0.0668,0.0904,-0.1437,0.088,-0.0953,0.0619,-0.1591,1578.04,1601.51,1596.52,1583.04
2021-01-16,2021,136,Dortmund,Mainz,1,1,D,0.1156,-0.0844,-0.1824,0.1295,0.0886,-0.0857,-0.1837,0.1025,1590.37,1326.1,1580.79,1335.68
2021-01-16,2021,137,Wolfsburg,RB Leipzig,2,2,D,-0.0208,-0.1209,-0.0002,-0.1979,-0.0103,-0.1055,0.0152,-0.1875,1562.64,1602.51,1562.25,1602.9
2021-01-16,2021,138,FC Koln,Hertha,0,0,D,-0.1821,0.0403,-0.0341,-0.0006,-0.2128,0.0123,-0.0621,-0.0312,1400.44,1455.43,1400.63,1455.24
2021-01-16,2021,139,Werder Bremen,Augsburg,2,0,H,-0.116,-0.0214,-0.1439,0.0096,-0.1091,-0.045,-0.1675,0.0165,1441.69,1426.23,1463.39,1404.53
2021-01-16,2021,140,Hoffenheim,Bielefeld,0,0,D,-0.0458,0.1073,-0.2446,-0.0065,-0.0808,0.0831,-0.2688,-0.0414,1400.6,1388.59,1398.25,1390.95
2021-01-16,2021,141,Stuttgart,M'gladbach,2,2,D,0.1055,-0.0476,0.055,0.0044,0.1044,-0.0356,0.067,0.0033,1568.92,1544.39,1566.1,1547.21
